profile_link,language
https://www.whitecase.com/people/edouard-de-walque,French
https://www.whitecase.com/people/marios-gavriiloglou,English
https://www.whitecase.com/people/marios-gavriiloglou,German
https://www.whitecase.com/people/marios-gavriiloglou,Greek
https://www.whitecase.com/people/guillermo-giralda-fustes,English
https://www.whitecase.com/people/guillermo-giralda-fustes,Spanish
https://www.whitecase.com/people/guillermo-giralda-fustes,French
https://www.whitecase.com/people/scott-goldner,English
https://www.whitecase.com/people/scott-goldner,French
https://www.whitecase.com/people/nick-hallemeesch,Dutch
https://www.whitecase.com/people/nick-hallemeesch,English
https://www.whitecase.com/people/nick-hallemeesch,French
https://www.whitecase.com/people/marika-harjula,English
https://www.whitecase.com/people/marika-harjula,Finnish
https://www.whitecase.com/people/philippe-hendrickx,English
https://www.whitecase.com/people/philippe-hendrickx,Dutch
https://www.whitecase.com/people/philippe-hendrickx,French
https://www.whitecase.com/people/julien-hislaire,English
https://www.whitecase.com/people/julien-hislaire,French
https://www.whitecase.com/people/julien-hislaire,Dutch
https://www.whitecase.com/people/alexandre-hublet,English
https://www.whitecase.com/people/alexandre-hublet,Dutch
https://www.whitecase.com/people/alexandre-hublet,French
https://www.whitecase.com/people/kate-kelliher,English
https://www.whitecase.com/people/joao-lacerda,English
https://www.whitecase.com/people/joao-lacerda,Portuguese
https://www.whitecase.com/people/louise-lundberg,English
https://www.whitecase.com/people/louise-lundberg,Swedish
https://www.whitecase.com/people/louise-lundberg,French
https://www.whitecase.com/people/louise-lundberg,Danish
https://www.whitecase.com/people/louise-lundberg,Norwegian
https://www.whitecase.com/people/vladimir-nyagolov,Bulgarian
https://www.whitecase.com/people/vladimir-nyagolov,English
https://www.whitecase.com/people/vladimir-nyagolov,German
https://www.whitecase.com/people/vladimir-nyagolov,Russian
https://www.whitecase.com/people/george-papaconstantinou,English
https://www.whitecase.com/people/george-papaconstantinou,Greek
https://www.whitecase.com/people/george-papaconstantinou,French
https://www.whitecase.com/people/george-papaconstantinou,Italian
https://www.whitecase.com/people/niccolo-piga,English
https://www.whitecase.com/people/niccolo-piga,Italian
https://www.whitecase.com/people/niccolo-piga,French
https://www.whitecase.com/people/niccolo-piga,Spanish
https://www.whitecase.com/people/tommaso-poli,English
https://www.whitecase.com/people/tommaso-poli,Italian
https://www.whitecase.com/people/stefania-sacuiu,French
https://www.whitecase.com/people/stefania-sacuiu,English
https://www.whitecase.com/people/stefania-sacuiu,Dutch
https://www.whitecase.com/people/stefania-sacuiu,Romanian
https://www.whitecase.com/people/iakovos-sarmas,English
https://www.whitecase.com/people/iakovos-sarmas,French
https://www.whitecase.com/people/iakovos-sarmas,Greek
https://www.whitecase.com/people/eline-souffriau,Dutch
https://www.whitecase.com/people/eline-souffriau,French
https://www.whitecase.com/people/eline-souffriau,English
https://www.whitecase.com/people/giuseppe-tantulli,English
https://www.whitecase.com/people/giuseppe-tantulli,Italian
https://www.whitecase.com/people/giuseppe-tantulli,Spanish
https://www.whitecase.com/people/giuseppe-tantulli,French
https://www.whitecase.com/people/aurelie-terlinden,English
https://www.whitecase.com/people/aurelie-terlinden,French
https://www.whitecase.com/people/aurelie-terlinden,Portuguese
https://www.whitecase.com/people/aurelie-terlinden,Dutch
https://www.whitecase.com/people/irina-trichkovska,English
https://www.whitecase.com/people/irina-trichkovska,Russian
https://www.whitecase.com/people/irina-trichkovska,Macedonian
https://www.whitecase.com/people/irina-trichkovska,Bulgarian
https://www.whitecase.com/people/irina-trichkovska,Serbian
https://www.whitecase.com/people/irina-trichkovska,Croatian
https://www.whitecase.com/people/nicolas-vande-velde,French
https://www.whitecase.com/people/nicolas-vande-velde,English
https://www.whitecase.com/people/nicolas-vande-velde,Dutch
https://www.whitecase.com/people/matthias-vangenechten,Dutch
https://www.whitecase.com/people/matthias-vangenechten,English
https://www.whitecase.com/people/matthias-vangenechten,French
https://www.whitecase.com/people/bram-vereecken,English
https://www.whitecase.com/people/bram-vereecken,Dutch
https://www.whitecase.com/people/bram-vereecken,French
https://www.whitecase.com/people/tobias-zuber,German
https://www.whitecase.com/people/tobias-zuber,English
https://www.whitecase.com/people/tobias-zuber,French
https://www.whitecase.com/people/georgi-ropanov,Bulgarian
https://www.whitecase.com/people/georgi-ropanov,English
https://www.whitecase.com/people/georgi-ropanov,French
https://www.whitecase.com/people/georgi-ropanov,Russian
https://www.whitecase.com/people/peter-citron,English
https://www.whitecase.com/people/peter-citron,French
https://www.whitecase.com/people/fabienne-vermeeren,Dutch
https://www.whitecase.com/people/fabienne-vermeeren,English
https://www.whitecase.com/people/fabienne-vermeeren,French
https://www.whitecase.com/people/said-hanafi,Arabic
https://www.whitecase.com/people/said-hanafi,French
https://www.whitecase.com/people/said-hanafi,English
https://www.whitecase.com/people/tarek-mohanna,Arabic
https://www.whitecase.com/people/tarek-mohanna,English
https://www.whitecase.com/people/tarek-mohanna,French
https://www.whitecase.com/people/walid-el-daly,Arabic
https://www.whitecase.com/people/walid-el-daly,English
https://www.whitecase.com/people/ziad-gadalla,Arabic
https://www.whitecase.com/people/ziad-gadalla,English
https://www.whitecase.com/people/sherief-rashed,English
https://www.whitecase.com/people/sherief-rashed,Arabic
https://www.whitecase.com/people/bryan-cory,English
https://www.whitecase.com/people/tamer-nagy,Arabic
https://www.whitecase.com/people/tamer-nagy,English
https://www.whitecase.com/people/ahmad-ashraf,Arabic
https://www.whitecase.com/people/ahmad-ashraf,English
https://www.whitecase.com/people/farah-atef,English
https://www.whitecase.com/people/farah-atef,Arabic
https://www.whitecase.com/people/farah-atef,German
https://www.whitecase.com/people/ahmed-bekheit,Arabic
https://www.whitecase.com/people/ahmed-bekheit,English
https://www.whitecase.com/people/mahmoud-ezz,English
https://www.whitecase.com/people/mahmoud-ezz,Arabic
https://www.whitecase.com/people/mahmoud-ezz,German
https://www.whitecase.com/people/youssef-fathy,Arabic
https://www.whitecase.com/people/youssef-fathy,French
https://www.whitecase.com/people/youssef-fathy,English
https://www.whitecase.com/people/youssef-fathy,Spanish
https://www.whitecase.com/people/tarek-kfoury,Arabic
https://www.whitecase.com/people/tarek-kfoury,English
https://www.whitecase.com/people/tarek-kfoury,French
https://www.whitecase.com/people/moustafa-raouf,Arabic
https://www.whitecase.com/people/moustafa-raouf,English
https://www.whitecase.com/people/cherif-el-tabei,Arabic
https://www.whitecase.com/people/cherif-el-tabei,English
https://www.whitecase.com/people/cherif-el-tabei,French
https://www.whitecase.com/people/ian-cuillerier,English
https://www.whitecase.com/people/ian-cuillerier,French
https://www.whitecase.com/people/damien-nyer,English
https://www.whitecase.com/people/damien-nyer,French
https://www.whitecase.com/people/damien-nyer,Spanish
https://www.whitecase.com/people/daniel-abercromby,English
https://www.whitecase.com/people/margie-chan,English
https://www.whitecase.com/people/margie-chan,Cantonese
https://www.whitecase.com/people/margie-chan,Mandarin
https://www.whitecase.com/people/melody-chan,English
https://www.whitecase.com/people/melody-chan,Cantonese
https://www.whitecase.com/people/melody-chan,Mandarin
https://www.whitecase.com/people/baldwin-cheng,English
https://www.whitecase.com/people/baldwin-cheng,Cantonese
https://www.whitecase.com/people/baldwin-cheng,Mandarin
https://www.whitecase.com/people/simon-collins,English
https://www.whitecase.com/people/william-fong,English
https://www.whitecase.com/people/william-fong,Mandarin
https://www.whitecase.com/people/william-fong,Cantonese
https://www.whitecase.com/people/bingna-guo,English
https://www.whitecase.com/people/bingna-guo,Mandarin
https://www.whitecase.com/people/bingna-guo,Shanghainese
https://www.whitecase.com/people/christopher-kelly,English
https://www.whitecase.com/people/david-li,English
https://www.whitecase.com/people/david-li,Mandarin
https://www.whitecase.com/people/eugene-man,English
https://www.whitecase.com/people/eugene-man,Cantonese
