profile_link,education
https://www.whitecase.com/people/jacqui-pavlidis,Master of Laws (Juris Doctor) Monash University
https://www.whitecase.com/people/jacqui-pavlidis,Bachelor of Business (Banking and Finance) Monash University
https://www.whitecase.com/people/jacqui-pavlidis,Bachelor of Business (Accounting) Monash University
https://www.whitecase.com/people/suzie-porritt,Bachelor of Arts University of Melbourne
https://www.whitecase.com/people/suzie-porritt,Juris Doctor Monash University
https://www.whitecase.com/people/girish-rao,LLB University of South Australia
https://www.whitecase.com/people/matt-sercombe,LLB (Hons) Deakin University
https://www.whitecase.com/people/matt-sercombe,BSc (Hons) Applied Chemistry Curtin University
https://www.whitecase.com/people/ned-simpson,Bachelor of Architecture Deakin University
https://www.whitecase.com/people/ned-simpson,LLB (Hons) La Trobe University
https://www.whitecase.com/people/kirsten-sugden,Juris Doctor University of Melbourne
https://www.whitecase.com/people/kirsten-sugden,Bachelor of Environments University of Melbourne
https://www.whitecase.com/people/nicolette-tan,Bachelor of Laws Monash University
https://www.whitecase.com/people/nicolette-tan,Bachelor of Commerce Monash University
https://www.whitecase.com/people/zachary-tyler,JD Georgetown University Law Center
https://www.whitecase.com/people/zachary-tyler,"Certificate, Johns Hopkins University - Nanjing University Center for Chinese and America Studies, Nanjing, China"
https://www.whitecase.com/people/zachary-tyler,BA Georgetown University
https://www.whitecase.com/people/chris-wallace,Bachelor of Arts Oxford University
https://www.whitecase.com/people/chris-wallace,Postgraduate Diploma in Legal Practice BPP Law School
https://www.whitecase.com/people/courtney-white,Bachelor of Laws Monash University
https://www.whitecase.com/people/yushu-xie,JD University of Sydney
https://www.whitecase.com/people/yushu-xie,BA Jinan University
https://www.whitecase.com/people/samuel-scoles,Mastering Trade Policy Executive Education Program Harvard University John F. Kennedy School of Government
https://www.whitecase.com/people/samuel-scoles,"MA International Economics and Southeast Asian Studies Johns Hopkins University School of Advanced International Studies (SAIS) Washington, DC"
https://www.whitecase.com/people/samuel-scoles,"Indonesian Language Proficiency Gadjah Mada University Yogyakarta, Indonesia"
https://www.whitecase.com/people/samuel-scoles,"French Language Proficiency, Institut de Langue et de Culture Francaises Universite Catholique Lyon, France"
https://www.whitecase.com/people/samuel-scoles,"Thai Language Proficiency Chiang Mai University Chiang Mai, Thailand"
https://www.whitecase.com/people/samuel-scoles,BA History and Art Westmont College
https://www.whitecase.com/people/anita-hormis,Bachelor of Laws (Hons) University of Sheffield
https://www.whitecase.com/people/anita-hormis,Postgraduate Diploma in Legal Practice University of Sheffield
https://www.whitecase.com/people/anna-oreilly,LLB (Hons) University of Tasmania
https://www.whitecase.com/people/anna-oreilly,BComm University of Tasmania
https://www.whitecase.com/people/juraj-fuska,"JUDr Comenius University School of Law Bratislava, Slovak Republic"
https://www.whitecase.com/people/juraj-fuska,"Mgr Comenius University School of Law Bratislava, Slovak Republic"
https://www.whitecase.com/people/zoran-draskovic,"Mgr, Faculty of Law Comenius University Bratislava, Slovak Republic"
https://www.whitecase.com/people/zoran-draskovic,"Ing, Faculty of International Relations University of Economics Bratislava, Slovak Republic"
https://www.whitecase.com/people/vladimir-ivanco,"JUDr University of Pavol Jozef Safarik Bratislava, Slovak Republic"
https://www.whitecase.com/people/vladimir-ivanco,LLM Ghent University Law School Belgium
