profile_link,bar_court
https://www.whitecase.com/people/thierry-bosly,Brussels Bar
https://www.whitecase.com/people/thierry-bosly,Luxembourg Bar (Liste IV)
https://www.whitecase.com/people/katarzyna-czapracka,Brussels Bar (E list)
https://www.whitecase.com/people/katarzyna-czapracka,"Advocate, Regional Bar Chamber in Warsaw"
https://www.whitecase.com/people/katarzyna-czapracka,New York State Bar
https://www.whitecase.com/people/genevra-forwood,Brussels Bar
https://www.whitecase.com/people/genevra-forwood,England and Wales
https://www.whitecase.com/people/jeremie-jourdan,Paris Bar
https://www.whitecase.com/people/jeremie-jourdan,Brussels Bar (E list)
https://www.whitecase.com/people/james-killick,England and Wales
https://www.whitecase.com/people/james-killick,Brussels Bar
https://www.whitecase.com/people/assimakis-komninos,Brussels Bar (E list)
https://www.whitecase.com/people/assimakis-komninos,Athens Bar (Greek Supreme Court)
https://www.whitecase.com/people/tilman-kuhn,Rechtsanwalt
https://www.whitecase.com/people/jacquelyn-maclennan,Solicitor in Scotland
https://www.whitecase.com/people/jacquelyn-maclennan,Notary Public
https://www.whitecase.com/people/jacquelyn-maclennan,Brussels Bar
https://www.whitecase.com/people/mark-powell,Solicitor of England and Wales
https://www.whitecase.com/people/mark-powell,Brussels Bar
https://www.whitecase.com/people/strati-sakellariou-witt,Brussels Bar
https://www.whitecase.com/people/strati-sakellariou-witt,New York State Bar
https://www.whitecase.com/people/strati-sakellariou-witt,Athens Bar
https://www.whitecase.com/people/axel-schulz,Munich Bar
https://www.whitecase.com/people/axel-schulz,Brussels Bar (E list)
https://www.whitecase.com/people/hadrien-servais,Brussels Bar
https://www.whitecase.com/people/hadrien-servais,Luxembourg Bar (Liste IV)
https://www.whitecase.com/people/hadrien-servais,New York State Bar
https://www.whitecase.com/people/thomas-glauden,Brussels Bar
https://www.whitecase.com/people/thomas-glauden,Luxembourg Bar (Liste IV)
https://www.whitecase.com/people/christophe-goossens,Brussels Bar
https://www.whitecase.com/people/christophe-goossens,Luxembourg Bar (Liste IV)
https://www.whitecase.com/people/alexandra-rogers,Brussels Bar
https://www.whitecase.com/people/alexandra-rogers,Solicitor of England and Wales
https://www.whitecase.com/people/kai-struckmann,Regional Court of Hannover
https://www.whitecase.com/people/kai-struckmann,Brussels Bar (E list)
https://www.whitecase.com/people/olivier-vanhulst,Brussels Bar
https://www.whitecase.com/people/christoph-arhold,Rechtsanwalt
https://www.whitecase.com/people/nicholas-forwood,"Barrister, England & Wales (Middle Temple)"
https://www.whitecase.com/people/nicholas-forwood,Bar of Ireland
https://www.whitecase.com/people/nicholas-forwood,Luxembourg Bar (Liste IV)
https://www.whitecase.com/people/charles-julien,
https://www.whitecase.com/people/richard-king,Brussels Bar (E list)
https://www.whitecase.com/people/richard-king,Pennsylvania State Bar
https://www.whitecase.com/people/richard-king,US Court of International Trade
https://www.whitecase.com/people/richard-king,US Court of Appeals for the Federal Circuit
https://www.whitecase.com/people/richard-king,District of Columbia Bar
https://www.whitecase.com/people/sara-nordin,England and Wales
https://www.whitecase.com/people/sara-nordin,New York State Bar
https://www.whitecase.com/people/sara-nordin,US Court of International Trade
https://www.whitecase.com/people/willem-van-de-wiele,Brussels Bar
https://www.whitecase.com/people/willem-van-de-wiele,Luxembourg Bar (Liste IV)
https://www.whitecase.com/people/willem-van-de-wiele,New York State Bar
https://www.whitecase.com/people/fanny-abouzeid,Brussels Bar (E list)
https://www.whitecase.com/people/fanny-abouzeid,Paris Bar
https://www.whitecase.com/people/geraldine-amory,
https://www.whitecase.com/people/alissa-arms,Rechtsanwaltin
https://www.whitecase.com/people/mario-barka,Brussels Bar
https://www.whitecase.com/people/sara-ben-othmen,
https://www.whitecase.com/people/cornelius-borner,Brussels Bar (E list)
https://www.whitecase.com/people/cornelius-borner,Rechtsanwalt
https://www.whitecase.com/people/martina-castren,
https://www.whitecase.com/people/elien-claeys,Brussels Bar
https://www.whitecase.com/people/antoine-cleret,Brussels Bar
https://www.whitecase.com/people/antoine-cleret,Luxembourg Bar (Liste IV)
https://www.whitecase.com/people/william-de-catelle,Brussels Bar
https://www.whitecase.com/people/edouard-de-walque,Brussels Bar
https://www.whitecase.com/people/marios-gavriiloglou,Athens Bar
https://www.whitecase.com/people/guillermo-giralda-fustes,
https://www.whitecase.com/people/scott-goldner,
https://www.whitecase.com/people/nick-hallemeesch,Brussels Bar
https://www.whitecase.com/people/marika-harjula,Solicitor of England and Wales
https://www.whitecase.com/people/marika-harjula,Brussels Bar
https://www.whitecase.com/people/philippe-hendrickx,Brussels Bar
https://www.whitecase.com/people/julien-hislaire,Brussels Bar
https://www.whitecase.com/people/alexandre-hublet,Brussels Bar
https://www.whitecase.com/people/alexandre-hublet,New York State Bar
https://www.whitecase.com/people/kate-kelliher,England and Wales
https://www.whitecase.com/people/joao-lacerda,Portuguese Bar
https://www.whitecase.com/people/joao-lacerda,Brussels Bar (B list)
https://www.whitecase.com/people/joao-lacerda,Brazilian Bar
https://www.whitecase.com/people/louise-lundberg,
https://www.whitecase.com/people/vladimir-nyagolov,
https://www.whitecase.com/people/george-papaconstantinou,Brussels Bar
https://www.whitecase.com/people/george-papaconstantinou,Thessaloniki Bar
https://www.whitecase.com/people/niccolo-piga,Brussels Bar
https://www.whitecase.com/people/tommaso-poli,Italian Bar (Bologna) - Avvocato
https://www.whitecase.com/people/tommaso-poli,Brussels Bar
https://www.whitecase.com/people/stefania-sacuiu,Brussels Bar
https://www.whitecase.com/people/iakovos-sarmas,Athens Bar
https://www.whitecase.com/people/iakovos-sarmas,Brussels Bar
https://www.whitecase.com/people/iakovos-sarmas,New York State Bar
https://www.whitecase.com/people/eline-souffriau,Brussels Bar
https://www.whitecase.com/people/eline-souffriau,Luxembourg Bar (Liste IV)
https://www.whitecase.com/people/giuseppe-tantulli,Brussels Bar
https://www.whitecase.com/people/giuseppe-tantulli,Madrid Bar
https://www.whitecase.com/people/giuseppe-tantulli,New York State Bar
https://www.whitecase.com/people/aurelie-terlinden,Luxembourg Bar (Liste IV)
https://www.whitecase.com/people/irina-trichkovska,Brussels Bar (B list)
https://www.whitecase.com/people/irina-trichkovska,Skopje Bar
https://www.whitecase.com/people/nicolas-vande-velde,Brussels Bar
https://www.whitecase.com/people/matthias-vangenechten,Brussels Bar
https://www.whitecase.com/people/bram-vereecken,Brussels Bar
https://www.whitecase.com/people/tobias-zuber,"Rechtsanwalt, Regional Court of Dusseldorf"
https://www.whitecase.com/people/tobias-zuber,Brussels Bar
https://www.whitecase.com/people/georgi-ropanov,
https://www.whitecase.com/people/peter-citron,Brussels Bar
https://www.whitecase.com/people/peter-citron,England and Wales
https://www.whitecase.com/people/fabienne-vermeeren,
https://www.whitecase.com/people/said-hanafi,The Egyptian Bar Association
https://www.whitecase.com/people/tarek-mohanna,England and Wales
https://www.whitecase.com/people/walid-el-daly,Egyptian Bar Association of Courts of Appeal
https://www.whitecase.com/people/ziad-gadalla,The Egyptian Bar Association
https://www.whitecase.com/people/sherief-rashed,New York State Bar
https://www.whitecase.com/people/sherief-rashed,The Egyptian Bar Association
https://www.whitecase.com/people/bryan-cory,Texas State Bar
https://www.whitecase.com/people/tamer-nagy,District of Columbia Bar
https://www.whitecase.com/people/tamer-nagy,Maryland State Bar
https://www.whitecase.com/people/tamer-nagy,US District Court for the District of Columbia
https://www.whitecase.com/people/ahmad-ashraf,
https://www.whitecase.com/people/farah-atef,New York State Bar
https://www.whitecase.com/people/farah-atef,The Egyptian Bar Association
https://www.whitecase.com/people/ahmed-bekheit,The Egyptian Bar Association
https://www.whitecase.com/people/mahmoud-ezz,New York State Bar
https://www.whitecase.com/people/mahmoud-ezz,The Egyptian Bar Association
https://www.whitecase.com/people/youssef-fathy,California State Bar
https://www.whitecase.com/people/tarek-kfoury,The Egyptian Bar Association
https://www.whitecase.com/people/moustafa-raouf,
https://www.whitecase.com/people/cherif-el-tabei,The Egyptian Bar Association
